id	角色名	中文名	动画集名	行为树	移动速度(10以下慢)	视野半径	近距攻击半径	远距攻击半径	基础生命	攻击力	攻击类型(1物理，2魔法)	物抗(百分数)	魔抗(百分数)	闪避(百分数)	普攻技1	普攻1持续次数	普攻技2	特殊技1	特殊技2	特殊技3	血条大小(1小，2中，3大，4极大)	血条高度	Idle时间	Idle转身时间	巡逻时间	巡逻变向时间	尸体存在时间	子弹发射位置x	子弹发射位置y
1001	Jedi	...	Jedi	res/bt/bt_ogre.xml	40	80	30	30	150	10	1	0	0	0	1	2	0	0	0	0	1	20	5	1	20	5	1	0	0
1002	Jedi2	...	Jedi2	res/bt/bt_ogre.xml	40	80	30	30	150	10	1	0	0	0	1	2	0	0	0	0	1	20	4.5	1	18	6	1	0	0
1003	Tkdo		Tkdo	res/bt/bt_ogre.xml	40	80	30	30	150	10	1	0	0	0	1	2	0	0	0	0	1	20	4	1	18	6	1	0	0
1004	Militia	民兵	Militia	res/bt/bt_ogre.xml	40	80	30	30	50	2	1	0	0	0	1	2	0	0	0	0	1	20	4	1	10	5.5	1	0	0
1005	Footman	步兵	Footman	res/bt/bt_ogre.xml	40	80	30	30	100	4	1	0	0	0	1	2	0	0	0	0	1	20	4	1	10	5.5	1	0	0
1006	Knight	骑士	Knight	res/bt/bt_ogre.xml	40	80	30	30	150	8	1	0	0	0	1	2	0	0	0	0	1	20	4	1	10	5.5	1	0	0
1007	HolyKnight	圣骑士	HolyKnight	res/bt/bt_HolyKnight.xml	40	200	30	30	200	16	1	0	0	0	1	2	1	6	8	0	1	20	4	1	10	5.5	1	0	0
1008	Barbarian	野蛮人	Barbarian	res/bt/bt_ogre.xml	40	200	30	30	200	20	1	0	0	0	1	2	0	0	0	0	1	20	4	1	10	5.5	1	0	0
2001	Goblin	地精	Goblin	res/bt/bt_ogre.xml	24	200	30	30	20	3	1	0	0	0	1	2	0	0	0	0	1	20	4	1.5	43	4	2	0	0
2002	Orc	兽人	Orc	res/bt/bt_ogre.xml	16	200	30	30	80	6	1	0	0	0	1	2	0	0	0	0	1	25	6	1.5	15	4	2	0	0
2003	Sahman	萨满	Sahman	res/bt/bt_Sahman.xml	20	200	30	30	100	4	1	0	80	0	1	2	0	2	0	0	1	25	4	1.5	14	4	2	0	0
2004	Ogre	巨妖	Ogre	res/bt/bt_ogre.xml	14	200	30	30	800	50	1	0	0	0	1	2	0	0	0	0	2	50	10	3	10	8	4	0	0
2005	Bandit	强盗	Bandit	res/bt/bt_ogre.xml	24	200	30	30	70	25	1	0	0	50	1	2	0	0	0	0	1	25	4	2	12	4	2	0	0
2006	Brigand	土匪	Brigand	res/bt/bt_ogre.xml	16	200	30	30	160	8	1	50	0	0	1	2	0	0	0	0	1	25	4	2	9	4	2	0	0
2007	Wulf	恶狼	Wulf	res/bt/bt_ogre.xml	50	200	30	30	35	2	1	0	0	50	1	2	0	0	0	0	1	20	4	2	11	4	2	0	0
2008	Juggernaut	狂暴魔像	Juggernaut	res/bt/bt_Sahman.xml	5	200	50	50	10000	200	1	0	0	0	1	2	0	3	0	0	4	100	2	5	21	10	10	-26	68
2009	NoxiousCreeeper	剧毒蜘蛛	NoxiousCreeeper	res/bt/bt_Sahman.xml	8	200	30	30	1000	30	1	50	0	0	1	2	0	5	0	0	2	35	7	10	12	20	3	0	0
2010	ShadowArcher	暗影射手	ShadowArcher	res/bt/bt_archer.xml	24	200	30	200	100	15	1	0	30	0	1	2	0	4	0	0	1	20	2	1.5	10	4	2	0	0
2011	NoxiousSon	地精	NoxiousSon	res/bt/bt_ogre.xml	30	200	30	30	50	5	2	0	0	0	1	2	0	0	0	0	1	20	4	1.5	43	4	2	0	0
2012	BigDevil_chase	魔王变身-追击	BigDevil	res/bt/bt_devilChase.xml	5	200	100	100	10000	50	1	0	0	0	1	2	0	3	0	0	4	100	2	5	21	10	10	-26	68
3001	Militia_Escape	民兵-逃亡	Militia	res/bt/bt_escape.xml	40	80	30	30	50	2	1	0	0	0	1	2	0	0	0	0	1	20	2	1	10	5.5	1	0	0
3002	Footman_Escape	步兵-逃亡	Footman	res/bt/bt_escape.xml	40	80	30	30	100	4	1	0	0	0	1	2	0	0	0	0	1	20	2	1	10	5.5	1	0	0
