title	id	name	filePath
注释	ID	动画名	文件
string	int	string	string
""	0	""	""
	1001	Jedi	res/anim/Jedi/Jedi.ExportJson
士兵1xxx	1002	Jedi2	res/anim/Jedi2/Jedi2.ExportJson
	1003	Tkdo	res/anim/Tkdo/Tkdo.ExportJson
	1004	Militia	res/anim/Militia/Militia.ExportJson
	1005	Footman	res/anim/Footman/Footman.ExportJson
	1006	Knight	res/anim/Knight/Knight.ExportJson
	1007	HolyKnight	res/anim/HolyKnight/HolyKnight.ExportJson
	1008	Barbarian	res/anim/Barbarian/Barbarian.ExportJson
怪物2xxx	2001	Goblin	res/anim/Goblin/Goblin.ExportJson
	2002	Orc	res/anim/Orc/Orc.ExportJson
	2003	Sahman	res/anim/Sahman/Sahman.ExportJson
	2004	Ogre	res/anim/Ogre/Ogre.ExportJson
	2005	Bandit	res/anim/Bandit/Bandit.ExportJson
	2006	Brigand	res/anim/Brigand/Brigand.ExportJson
	2007	Wulf	res/anim/Wulf/Wulf.ExportJson
	2008	Juggernaut	res/anim/Juggernaut/Juggernaut.ExportJson
	2009	NoxiousCreeeper	res/anim/NoxiousCreeeper/NoxiousCreeeper.ExportJson
	2010	ShadowArcher	res/anim/ShadowArcher/ShadowArcher.ExportJson
	2011	NoxiousSon	res/anim/NoxiousSon/NoxiousSon.ExportJson
	2012	BigDevil	res/anim/BigDevil/BigDevil.ExportJson
子弹3xxx	3001	Arrow	res/anim/Arrow/Arrow.ExportJson
	3002	TrackingBomb	res/anim/TrackingBomb/TrackingBomb.ExportJson
	3003	SpiderEgg	res/anim/SpiderEgg/SpiderEgg.ExportJson
界面4xxx	4001	Loading_King	res/anim/Loading_King/Loading_King.ExportJson
